currency code,currency name
ZRX,0x
808,808Coin
ACT,Achain
ADX,AdEx
ADT,adToken
ELF,aelf
AEON,Aeon
ARN,Aeron
AE,Aeternity
DLT,Agrello Delta
AID,AidCoin
AION,Aion
AST,AirSwap
AIR,AirToken
AKY,Akuya Coin
ALIS,ALIS
SOC,All Sports
AMBER,AmberCoin
AMPL,Ampleforth
ANC,Anoncoin
APPC,AppCoins
APX,APX Ventures
ANT,Aragon
ABT,ArcBlock
ARDR,Ardor
ARK,Ark
ABY,ArtByte
XAS,Asch
AC,AsiaCoin
ATB,ATBCoin
ATM,ATMChain
REP,Augur
AUR,Aurora
ATS,Authorship
AVT,Aventus
B3,B3Coin
BNT,Bancor
BAT,Basic Attention
BTA,Bata
BCAP,BCAP
BEE,Bee Token
BELA,BelaCoin
BFT,BF Token
BIX,Bibox Token
BNB,Binance Coin
BUSD,Binance USD
BIS,Bismuth
BAY,BitBay
BITB,BitBean
BITBTC,BitBTC
BITCNY,BitCNY
BTC,Bitcoin
BCH,Bitcoin Cash
BTCD,BitcoinDark
BCD,Bitcoin Diamond
BTG,Bitcoin Gold
XBC,Bitcoin Plus
BTCP,Bitcoin Private
BCX,BitcoinX
BCC,BitConnect
BTX,Bitcore
BCY,BitCrystals
BDL,Bitdeal
CSNO,BitDice
BITEUR,BitEUR
BITGOLD,BitGOLD
BTM,Bitmark
BQ,bitqy
BTS,BitShares
BITSILVER,BitSILVER
SWIFT,Bitswift
BITUSD,BitUSD
BLK,Blackcoin
BMC,Blackmoon Crypto
BLITZ,Blitzcash
CAT,BlockCAT
BCPT,BlockMason Credit
BLOCK,Blocknet
TIX,Blocktix
VEE,BLOCKv
CDT,Blox
BLZ,Bluzelle
BOT,Bodhi
BLN,Bolenum
BBR,Boolberry
BOST,BoostCoin
BNTY,Bounty0x
BRD,Bread
BRK,Breakout Coin
BRX,Breakout Stake
BTSR,BTSR
BURST,Burstcoin
BUZZ,BuzzCoin
GBYTE,Byteball
BYC,Bytecent
BCN,Bytecoin
BYTOM,Bytom
CANN,CannabisCoin
ADA,Cardano
CTR,Centra
LINK,ChainLink
CHAT,ChatCoin
CHIPS,Chips
DAY,Chronologic
CND,Cindicator
COVAL,Circuits Of
CVC,Civic
CLAM,Clams
CLOAK,CloakCoin
CFI,Cofound it
COFI,CoinFi
CMP,Compcoin
RAIN,Condensate
CTXC,Cortex
COSS,COSS
XCP,Counterparty
CREA,CreativeCoin
CRBIT,CreditBIT
CREDO,Credo
CRW,Crown
C20,Crypto20
CCRB,CryptoCarbon
CNX,Cryptonex
XCN,Cryptonite
PING,CryptoPing
CURE,CureCoin
CMT,CyberMiles
DAI,Dai
BET,DAO Casino
DAR,Darcrus
DASH,Dash
DTA,Data
DTB,Databits
DATA,DATAcoin
DCT,DECENT
MANA,Decentraland
DCR,Decred
DBC,DeepBrain Chain
ONION,DeepOnion
DENT,Dent
DCN,Dentacoin
EVE,Devery
DFS,DFSCoin
DMD,Diamond
DGB,DigiByte
DGC,Digitalcoin
DDF,Digital Developers
XDN,DigitalNote
DGD,DigixDAO
DNT,district0x
DMT,DMarket
NOTE,DNotes
DOGE,DogeCoin
DOPE,DopeCoin
DRGN,Dragonchain
DBIX,DubaiCoin
DYN,Dynamic
EAC,EarthCoin
EBST,eBoost
EBTC,eBTC
ECC,ECC
ECN,E coin
EDG,Edgeless
EKT,EDUCare
EDO,Eidoo
EMC2,Einsteinium
XEL,Elastic
ELA,Elastos
ELEC,Electrify.Asia
ETN,Electroneum
EFL,Electronic Gulden
ELIX,Elixir
EMB,Embercoin
MBRS,Embers
EMC,Emercoin
ETT,EncryptoTel
ENRG,EnergyCoin
ENG,Enigma
ENJ,Enjin Coin
EOS,EOS
EOT,EOT Token
EQT,EquiTrader
ETH,Ethereum
ETC,Ethereum Classic
ETHD,Ethereum Dark
DICE,Etheroll
FUEL,Etherparty
LEND,EthLend
ETHOS,Ethos
ERC,EuropeCoin
EVX,Everex
EGC,EverGreenCoin
XUC,Exchange Union
EXCL,ExclusiveCoin
EXP,Expanse
FCT,Factom
FTC,Feathercoin
1ST,FirstBlood
FRST,FirstCoin
FLO,FlorinCoin
FLT,FlutterCoin
FLDC,FoldingCoin
NTO,Fujinto
FUN,FunFair
GAM,Gambit
GTC,Game
GAME,GameCredits
GAS,Gas
GCR,GCRCoin
GVT,Genesis Vision
GEO,GeoCoin
GTO,Gifto
WTT,Giga Watt
2GIVE,GiveCoin
GNO,Gnosis Token
GBX,GoByte
GLD,GoldCoin
GNT,Golem Tokens
GOLOS,Golos
GBG,Golos Gold
GRC,Gridcoin
GRS,Groestlcoin
GRWI,Growers International
NLG,Gulden
GUP,Guppy
GXS,GXShares
XHV,Haven Protocol
HEAT,HEAT
THC,HempCoin
HXX,HexxCoin
HPB,High Performance
HVN,Hive
HBN,HoboNickels
HSR,Hshare
HMQ,Humaniq
HUSH,Hush
ICX,ICON
ICN,ICONOMI
AGRS,IDNI Agoras
IGNIS,Ignis
INCNT,Incent
IND,Indorse Token
INF,InfChain
IFC,Infinitecoin
INK,Ink
INS,INS Ecosystem
INSTAR,Insights Network
IXT,InsureX
INT,Internet Node
IOP,Internet of
INXT,Internxt
IFT,investFeed
IOC,IOCoin
ION,ION
IOST,IOStoken
IOTA,IOTA
ITC,IoT Chain
IOTX,IoTeX
IQT,Iquant Chain
IXC,iXcoin
J8T,JET8
JNT,Jibrel Network
KICK,KickCoin
KIN,KIN
KMD,Komodo
KORE,KoreCoin
KCS,KuCoin
KNC,Kyber Network
TAU,Lamden
PIX,Lampix
LBC,LBRY Credits
LGD,Legends Room
LEV,Leverj
LINDA,Linda
LSK,Lisk
LTC,Litecoin
LCC,Litecoin Cash
LOCI,LOCIcoin
LMC,LoMoCoin
